Tasa mortalidad matena,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
REPÚBLICA ARRGENTINA,7,7,7,6,"6,1","5,9","5,5","4,9","4,8","5,2","5,2","4,8","4,8","4,6","3,9","4,4","4,7","3,8","3,8","4,1","3,9"
Ciud. Aut. de Bs As,"3,8","2,4","2,1","1,8",3,2,"2,6","2,7","2,7","1,5","4,1",1,"3,8","3,6","0,8",1,1,"0,2","0,3","0,2","1,4"
Buenos Aires,"4,3","5,6","6,1","4,6","4,7","4,6","3,1",3,"3,1","3,8","2,7","2,2","2,9","2,5","2,4","2,4","2,3","2,6","2,5","1,9","1,4"
Catamarca,"13,6","3,2","12,8","16,3","19,8","7,5","7,6","5,6","5,3",6,"10,5","7,9","1,3","4,2","6,8","2,6","4,1","5,1","2,5","5,1",-
Córdoba,"4,8","6,1",4,"2,3","5,1","3,5","2,6","2,5","2,4","2,6","2,9","2,4","3,4",2,"2,3","3,2","3,5",3,3,"1,3","1,1"
Corrientes,"9,8","10,7","7,6","7,8","7,5","8,1","12,2","8,5","9,7","5,2","9,4","8,9",7,"6,2","4,3","6,1","3,5","5,7","4,4","6,6","5,7"
Chaco,14,"10,9","10,4","8,7","12,1","14,6",13,"12,9","9,1","15,7","10,7","11,8","10,4","12,5","9,9","12,6",16,"5,8",13,"13,2","7,7"
Chubut,"8,5","11,3",6,"11,2","8,9","4,8","1,1","5,6","4,5","4,5","2,3","2,3","2,4","4,8","2,3",-,"6,9","4,6","3,6",-,"5,8"
Entre Rios,"4,7","3,1","4,8","3,6","4,7","2,3","4,7","3,1","3,1",3,"2,2","4,2","4,6","4,7","2,6",4,"2,6",3,"1,3","1,8","2,1"
Formosa,"12,9","21,4","14,2","11,8","11,2",10,19,17,"15,6","13,8","19,5","21,8","13,2","18,4","14,1","10,7","17,2","9,9","16,4","16,1","17,7"
Jujuy,"14,9","17,3","10,1","10,3","3,6","17,1",10,"9,8","12,3","7,5","15,1","10,4","12,9","10,2","7,3","10,3","15,7","13,6","13,1","10,2","7,3"
La Pampa,"7,9",2,2,2,4,"5,8","1,8","3,7","7,1","3,5","3,6","3,4","1,7","3,6","3,5",7,"3,5",-,"1,8","5,4","1,8"
La Rioja,"1,8","9,9",2,"14,5","4,3",2,"1,9","5,8","7,1",7,5,"10,8","3,1","7,5","1,5","6,5","4,5",3,"1,6","4,9","4,7"
Mendoza,"5,7","7,8","12,1","7,8","5,1","6,2","4,9","5,2",7,"8,7","6,4",6,"4,4","5,9","7,2","4,9","6,2","4,3","2,5","8,6","6,8"
Misiones,"10,8","10,9","3,7","6,1","10,3","8,8","9,5","5,8","8,7","8,3","8,3","9,3","5,6","6,1","3,2","7,9","3,3","0,8","1,5","7,1","5,5"
Neuquén,"7,6","2,5",12,"3,3","4,9","8,3","3,2","8,2","1,9","1,9","1,8","6,2","5,8","3,9","3,8","3,8","1,9","4,6","2,9",9,-
Río Negro,"2,6","2,7","0,9","2,6","4,4","1,7","1,7","3,3","0,8","0,8",4,"3,3","0,8","0,8",-,"2,9","1,8","2,5","5,7","0,9","5,1"
Salta,"17,4","14,5","21,3","15,4","10,6","10,8","10,4","11,2","10,8","10,8","11,6","12,4",12,"7,2","9,2","8,8","10,4","7,3","5,5","6,2","4,3"
San Juan,"8,9","12,8","6,7",12,"10,8","4,1","8,5","5,5","9,5","10,8","9,8","5,8",10,"8,1","6,7","8,6","5,5","11,1","8,6","9,4","9,9"
San Luis,"13,8","8,7","6,7","12,2","5,5","3,6","3,6","3,6","3,6",11,"2,9","6,6","8,6","4,2","6,1",-,"3,8","1,2","2,5","6,3","4,9"
Santa Cruz,"6,1",3,"28,6","11,7","11,1","10,7","5,1","7,4",-,"7,2",7,7,"7,1",0,"4,7","2,3","2,4",-,12,"4,9","2,5"
Santa Fe,"8,3","4,9","4,6","5,4","4,4",6,"6,2","4,4","3,5","5,8","6,4","3,1","2,4","3,6","3,6","3,6","5,3","4,9","4,4","3,8","4,4"
Santiago del Estero,"13,1",6,"14,1",9,"7,8","8,1","8,7","8,7","8,1","8,1","8,7","8,2","8,1","8,2","8,8","8,6","10,3","5,4",5,"4,6","8,9"
Tucumán,"10,4","10,4","7,2","9,9","11,8","9,9","10,3","3,6","3,6","3,6",4,"3,6","6,8",7,"4,7","6,7","6,1","5,2","3,9","5,1","4,1"
Tierra del Fuego,-,-,-,-,-,-,"5,6","4,9",-,-,-,-,-,"4,4",-,"4,3","4,4","9,3",-,"14,5","8,7"
